District
Arizona 2
California 39
California 49
Florida 6
Florida 15
Florida 17
Florida 27
Idaho 1
Indiana 4
Indiana 6
Kansas 2
Michigan 11
Mississippi 3
New Jersey 2
New Jersey 11
New Mexico 2
North Dakota At-Large
Ohio 16
Pennsylvania 6
Pennsylvania 9
Pennsylvania 11
South Carolina 4
South Dakota At-Large
Tennessee 2
Tennessee 6
Tennessee 7
Texas 2
Texas 3
Texas 5
Texas 6
Texas 21
Virginia 5
Virginia 6
Washington 8
West Virginia 3
Wisconsin 1
Arizona 9
Colorado 2
Connecticut 5
Hawaii 1
Illinois 4
Maryland 6
Massachusetts 3
Michigan 9
Minnesota 1
Minnesota 5
Minnesota 8
Nevada 3
Nevada 4
New Hampshire 1
New Mexico 1
New York 18
Pennsylvania 1
Texas 16
Texas 29
North Carolina 9
South Carolina 1
